ghidra_address,raw_address,generated_name,body_bytes,source_kind,original_name,status
0x39f7b8,0x29f7b8,recovered_fn_0029f7b8,12,c_decompiled,FUN_0039f7b8,ok
0x39f7c4,0x29f7c4,recovered_fn_0029f7c4,504,c_decompiled,FUN_0039f7c4,ok
0x39f9bc,0x29f9bc,recovered_fn_0029f9bc,392,c_decompiled,FUN_0039f9bc,ok
0x39fb44,0x29fb44,recovered_fn_0029fb44,296,c_decompiled,FUN_0039fb44,ok
0x39fc6c,0x29fc6c,recovered_fn_0029fc6c,316,c_decompiled,FUN_0039fc6c,ok
0x39fda8,0x29fda8,recovered_fn_0029fda8,12,c_decompiled,FUN_0039fda8,ok
0x39fdb4,0x29fdb4,recovered_fn_0029fdb4,92,c_decompiled,FUN_0039fdb4,ok
0x39fe10,0x29fe10,recovered_fn_0029fe10,64,c_decompiled,FUN_0039fe10,ok
0x39fe50,0x29fe50,recovered_fn_0029fe50,12,c_decompiled,FUN_0039fe50,ok
0x39fe5c,0x29fe5c,recovered_fn_0029fe5c,188,c_decompiled,FUN_0039fe5c,ok
0x39ff18,0x29ff18,recovered_fn_0029ff18,452,c_decompiled,FUN_0039ff18,ok
0x3a00dc,0x2a00dc,recovered_fn_002a00dc,604,c_decompiled,FUN_003a00dc,ok
0x3a0338,0x2a0338,recovered_fn_002a0338,244,c_decompiled,FUN_003a0338,ok
0x3a042c,0x2a042c,recovered_fn_002a042c,12,c_decompiled,FUN_003a042c,ok
0x3a0438,0x2a0438,recovered_fn_002a0438,196,c_decompiled,FUN_003a0438,ok
0x3a04fc,0x2a04fc,recovered_fn_002a04fc,84,c_decompiled,FUN_003a04fc,ok
0x3a0550,0x2a0550,recovered_fn_002a0550,80,c_decompiled,FUN_003a0550,ok
0x3a05a0,0x2a05a0,recovered_fn_002a05a0,120,c_decompiled,FUN_003a05a0,ok
0x3a0618,0x2a0618,recovered_fn_002a0618,84,c_decompiled,FUN_003a0618,ok
0x3a066c,0x2a066c,recovered_fn_002a066c,80,c_decompiled,FUN_003a066c,ok
0x3a06bc,0x2a06bc,recovered_fn_002a06bc,72,c_decompiled,FUN_003a06bc,ok
0x3a0704,0x2a0704,recovered_fn_002a0704,64,c_decompiled,FUN_003a0704,ok
0x3a0744,0x2a0744,recovered_fn_002a0744,72,c_decompiled,FUN_003a0744,ok
0x3a078c,0x2a078c,recovered_fn_002a078c,84,c_decompiled,FUN_003a078c,ok
0x3a07e0,0x2a07e0,recovered_fn_002a07e0,80,c_decompiled,FUN_003a07e0,ok
0x3a0830,0x2a0830,recovered_fn_002a0830,260,c_decompiled,FUN_003a0830,ok
0x3a0934,0x2a0934,recovered_fn_002a0934,84,c_decompiled,FUN_003a0934,ok
0x3a0988,0x2a0988,recovered_fn_002a0988,80,c_decompiled,FUN_003a0988,ok
0x3a09d8,0x2a09d8,recovered_fn_002a09d8,152,c_decompiled,FUN_003a09d8,ok
0x3a0a70,0x2a0a70,recovered_fn_002a0a70,64,c_decompiled,FUN_003a0a70,ok
0x3a0ab0,0x2a0ab0,recovered_fn_002a0ab0,192,c_decompiled,FUN_003a0ab0,ok
0x3a0b70,0x2a0b70,recovered_fn_002a0b70,492,c_decompiled,FUN_003a0b70,ok
0x3a0d5c,0x2a0d5c,recovered_fn_002a0d5c,328,c_decompiled,FUN_003a0d5c,ok
0x3a0ea4,0x2a0ea4,recovered_fn_002a0ea4,320,c_decompiled,FUN_003a0ea4,ok
0x3a0fe4,0x2a0fe4,recovered_fn_002a0fe4,36,c_decompiled,FUN_003a0fe4,ok
0x3a1008,0x2a1008,recovered_fn_002a1008,2564,c_decompiled,FUN_003a1008,ok
0x3a1a0c,0x2a1a0c,recovered_fn_002a1a0c,560,c_decompiled,FUN_003a1a0c,ok
0x3a1c3c,0x2a1c3c,recovered_fn_002a1c3c,12,c_decompiled,FUN_003a1c3c,ok
0x3a1c48,0x2a1c48,recovered_fn_002a1c48,1040,c_decompiled,FUN_003a1c48,ok
0x3a2058,0x2a2058,recovered_fn_002a2058,536,c_decompiled,FUN_003a2058,ok
0x3a2270,0x2a2270,recovered_fn_002a2270,280,c_decompiled,FUN_003a2270,ok
0x3a2388,0x2a2388,recovered_fn_002a2388,728,c_decompiled,FUN_003a2388,ok
0x3a2660,0x2a2660,recovered_fn_002a2660,328,c_decompiled,FUN_003a2660,ok
0x3a27a8,0x2a27a8,recovered_fn_002a27a8,1080,c_decompiled,FUN_003a27a8,ok
0x3a2be0,0x2a2be0,recovered_fn_002a2be0,576,c_decompiled,FUN_003a2be0,ok
0x3a2e20,0x2a2e20,recovered_fn_002a2e20,12,c_decompiled,FUN_003a2e20,ok
